CURSE_WORDS,Category
crack-whore,Sexual Orientation/Gender
ethical slut,Sexual Orientation/Gender
skankywhore,Sexual Orientation/Gender
twobitwhore,Sexual Orientation/Gender
hussy,Sexual Orientation/Gender
lesbain,Sexual Orientation/Gender
camslut,Sexual Orientation/Gender
jail bait,Sexual Orientation/Gender
g0ddamn,Religion
g0ddamned,Religion
g0ddamnit,Religion
god dammit,Religion
god damn,Religion
god damn it,Religion
god damned,Religion
god damnit,Religion
god-dam,Religion
god-damned,Religion
godamnit,Religion
godd@amn,Religion
godd@mnit,Religion
goddammit,Religion
goddamn,Religion
goddamned,Religion
goddamnit,Religion
sixsixsix,Religion
devilworshipper,Religion
goddamit,Religion
jebus,Religion
geez,Religion
damnation,Religion
jeez,Religion
goddamnes,Religion
gotohell,Religion
godammit,Religion
abbie,Ethnicity/Race
abeed,Ethnicity/Race
aboe,Ethnicity/Race
bean queen,Ethnicity/Race
beaner,Ethnicity/Race
beaners,Ethnicity/Race
blacky,Ethnicity/Race
buttermilk,Ethnicity/Race
c00n,Ethnicity/Race
c00nies,Ethnicity/Race
Camel jockey,Ethnicity/Race
ch1nk,Ethnicity/Race
china-virus,Ethnicity/Race
chinavirus,Ethnicity/Race
chinese-virus,Ethnicity/Race
chingchong,Ethnicity/Race
chink,Ethnicity/Race
chinky,Ethnicity/Race
cholo,Ethnicity/Race
coolie,Ethnicity/Race
coon,Ethnicity/Race
coon1es,Ethnicity/Race
cooni3s,Ethnicity/Race
coonie,Ethnicity/Race
coonies,Ethnicity/Race
coons,Ethnicity/Race
cotton picker,Ethnicity/Race
crow,Ethnicity/Race
crows,Ethnicity/Race
dago,Ethnicity/Race
darkass,Ethnicity/Race
darkfuck,Ethnicity/Race
darkie,Ethnicity/Race
darkshit,Ethnicity/Race
darktard,Ethnicity/Race
darky,Ethnicity/Race
dothead,Ethnicity/Race
dune coon,Ethnicity/Race
gook,Ethnicity/Race
greaser,Ethnicity/Race
groid,Ethnicity/Race
gyp,Ethnicity/Race
heeb,Ethnicity/Race
higg@,Ethnicity/Race
higg3r,Ethnicity/Race
higga,Ethnicity/Race
higger,Ethnicity/Race
higgers,Ethnicity/Race
injun,Ethnicity/Race
jap,Ethnicity/Race
jewboy,Ethnicity/Race
jigaboo,Ethnicity/Race
jigaboos,Ethnicity/Race
jigga,Ethnicity/Race
jiggaboo,Ethnicity/Race
jiggabooboo,Ethnicity/Race
jiggaboos,Ethnicity/Race
jiggabu,Ethnicity/Race
jiggas,Ethnicity/Race
jigger,Ethnicity/Race
jiggerboo,Ethnicity/Race
jiggerboos,Ethnicity/Race
jiggs,Ethnicity/Race
jiggyboo,Ethnicity/Race
jigro,Ethnicity/Race
jim crow,Ethnicity/Race
k!k3,Ethnicity/Race
k!ke,Ethnicity/Race
k..!ke,Ethnicity/Race
k1k3,Ethnicity/Race
k1ke,Ethnicity/Race
kike,Ethnicity/Race
kikes,Ethnicity/Race
kkk,Ethnicity/Race
klan,Ethnicity/Race
kneegrows,Ethnicity/Race
knickers,Ethnicity/Race
ku kluxer,Ethnicity/Race
kyke,Ethnicity/Race
m0ng0l0id,Ethnicity/Race
m0ngoloid,Ethnicity/Race
mong,Ethnicity/Race
mongoloid,Ethnicity/Race
mongrel,Ethnicity/Race
n1ckker,Ethnicity/Race
n1g3r,Ethnicity/Race
n1g3rz,Ethnicity/Race
n1gg@,Ethnicity/Race
n1gg@hs,Ethnicity/Race
n1gg3r,Ethnicity/Race
n1gg3rs,Ethnicity/Race
n1gga,Ethnicity/Race
n1ggah,Ethnicity/Race
n1ggahs,Ethnicity/Race
n1ggas,Ethnicity/Race
n1ggazes,Ethnicity/Race
n1gger,Ethnicity/Race
n1ggers,Ethnicity/Race
n1gguh,Ethnicity/Race
n3gro,Ethnicity/Race
negga,Ethnicity/Race
neggar,Ethnicity/Race
negr0,Ethnicity/Race
negro,Ethnicity/Race
negroes,Ethnicity/Race
negroid,Ethnicity/Race
niccer,Ethnicity/Race
nicka,Ethnicity/Race
nickas,Ethnicity/Race
nicker,Ethnicity/Race
nickk3r,Ethnicity/Race
nickker,Ethnicity/Race
nig,Ethnicity/Race
nig-nog,Ethnicity/Race
niga,Ethnicity/Race
nigah,Ethnicity/Race
nigasses,Ethnicity/Race
nigers,Ethnicity/Race
nigg@,Ethnicity/Race
nigg@hs,Ethnicity/Race
nigg@s,Ethnicity/Race
nigg@z,Ethnicity/Race
nigg@zzes,Ethnicity/Race
nigg3r,Ethnicity/Race
nigg3rs,Ethnicity/Race
nigg4h,Ethnicity/Race
nigg4hs,Ethnicity/Race
nigga,Ethnicity/Race
nigga lover,Ethnicity/Race
niggah,Ethnicity/Race
niggahs,Ethnicity/Race
niggahz,Ethnicity/Race
niggas,Ethnicity/Race
niggass,Ethnicity/Race
niggaz,Ethnicity/Race
niggazzes,Ethnicity/Race
nigger,Ethnicity/Race
nigger lover,Ethnicity/Race
niggers,Ethnicity/Race
niggerz,Ethnicity/Race
niggir,Ethnicity/Race
niggress,Ethnicity/Race
nigguh,Ethnicity/Race
nigguhs,Ethnicity/Race
nigguhz,Ethnicity/Race
niglet,Ethnicity/Race
nignigs,Ethnicity/Race
nignog,Ethnicity/Race
nigra,Ethnicity/Race
nigre,Ethnicity/Race
nigs,Ethnicity/Race
niguh,Ethnicity/Race
nikk3r,Ethnicity/Race
nikkas,Ethnicity/Race
nikker,Ethnicity/Race
nuckas,Ethnicity/Race
nuggets,Ethnicity/Race
oven dodger,Ethnicity/Race
paki,Ethnicity/Race
pancake face,Ethnicity/Race
porch monkey,Ethnicity/Race
raghead,Ethnicity/Race
ragheads,Ethnicity/Race
ragtard,Ethnicity/Race
redskin,Ethnicity/Race
rice monkey,Ethnicity/Race
sambo,Ethnicity/Race
sand nigger,Ethnicity/Race
shylock,Ethnicity/Race
sl@nteye,Ethnicity/Race
slantard,Ethnicity/Race
slanteye,Ethnicity/Race
slanteye b1tch,Ethnicity/Race
slanteyes,Ethnicity/Race
slanteyeshit,Ethnicity/Race
slantfreak,Ethnicity/Race
slanty,Ethnicity/Race
spic,Ethnicity/Race
spicfuck,Ethnicity/Race
spick,Ethnicity/Race
spics,Ethnicity/Race
spicshit,Ethnicity/Race
spig,Ethnicity/Race
spik,Ethnicity/Race
spix,Ethnicity/Race
spook,Ethnicity/Race
spooks,Ethnicity/Race
tacohead,Ethnicity/Race
tar-baby,Ethnicity/Race
timber nigger,Ethnicity/Race
towelhead,Ethnicity/Race
towelheads,Ethnicity/Race
towelshithead,Ethnicity/Race
we1back,Ethnicity/Race
wet back,Ethnicity/Race
wetback,Ethnicity/Race
wetbacks,Ethnicity/Race
wigger,Ethnicity/Race
wop,Ethnicity/Race
wophead,Ethnicity/Race
zip in the wire,Ethnicity/Race
zipperhead,Ethnicity/Race
whitetrash,Ethnicity/Race
jiggabo,Ethnicity/Race
popimp,Ethnicity/Race
hamas,Ethnicity/Race
niggled,Ethnicity/Race
niggling,Ethnicity/Race
nlggor,Ethnicity/Race
slant,Ethnicity/Race
spaghettinigger,Ethnicity/Race
gubba,Ethnicity/Race
niggur,Ethnicity/Race
koon,Ethnicity/Race
jijjiboo,Ethnicity/Race
kraut,Ethnicity/Race
spigotty,Ethnicity/Race
dink,Ethnicity/Race
clogwog,Ethnicity/Race
whitey,Ethnicity/Race
limey,Ethnicity/Race
nlgger,Ethnicity/Race
junglebunny,Ethnicity/Race
cooly,Ethnicity/Race
gipp,Ethnicity/Race
niggardly,Ethnicity/Race
jimfish,Ethnicity/Race
jigg,Ethnicity/Race
gatorbait,Ethnicity/Race
ikey,Ethnicity/Race
zigabo,Ethnicity/Race
kafir,Ethnicity/Race
niggardliness,Ethnicity/Race
nigr,Ethnicity/Race
sandnigger,Ethnicity/Race
rabbi,Ethnicity/Race
gypp,Ethnicity/Race
peckerwood,Ethnicity/Race
niggerhole,Ethnicity/Race
niggard,Ethnicity/Race
pommie,Ethnicity/Race
snownigger,Ethnicity/Race
palesimian,Ethnicity/Race
kaffir,Ethnicity/Race
mocky,Ethnicity/Race
nigg,Ethnicity/Race
jiggy,Ethnicity/Race
alligatorbait,Ethnicity/Race
goyim,Ethnicity/Race
bohunk,Ethnicity/Race
wog,Ethnicity/Race
niggles,Ethnicity/Race
seppo,Ethnicity/Race
white power,Ethnicity/Race
coondog,Ethnicity/Race
mockie,Ethnicity/Race
dego,Ethnicity/Race
pohm,Ethnicity/Race
kigger,Ethnicity/Race
japcrap,Ethnicity/Race
abo,Ethnicity/Race
niggerhead,Ethnicity/Race
argie,Ethnicity/Race
redneck,Ethnicity/Race
jiga,Ethnicity/Race
hindoo,Ethnicity/Race
hebe,Ethnicity/Race
pommy,Ethnicity/Race
chinamen,Ethnicity/Race
pickaninny,Ethnicity/Race
fatah,Ethnicity/Race
mosshead,Ethnicity/Race
mockey,Ethnicity/Race
whop,Ethnicity/Race
niggarding,Ethnicity/Race
pocho,Ethnicity/Race
ginzo,Ethnicity/Race
yankee,Ethnicity/Race
piky,Ethnicity/Race
pikey,Ethnicity/Race
wetb,Ethnicity/Race
nig nog,Ethnicity/Race
snowback,Ethnicity/Race
niggle,Ethnicity/Race
timbernigger,Ethnicity/Race
picaninny,Ethnicity/Race
yellowman,Ethnicity/Race
sheeney,Ethnicity/Race
cameljockey,Ethnicity/Race
lugan,Ethnicity/Race
russkie,Ethnicity/Race
payo,Ethnicity/Race
honkey,Ethnicity/Race
moky,Ethnicity/Race
gyppie,Ethnicity/Race
cacker,Ethnicity/Race
porchmonkey,Ethnicity/Race
limy,Ethnicity/Race
negros,Ethnicity/Race
tarbaby,Ethnicity/Race
wuzzie,Ethnicity/Race
chinaman,Ethnicity/Race
niggarded,Ethnicity/Race
kaffer,Ethnicity/Race
greaseball,Ethnicity/Race
honky,Ethnicity/Race
abbo,Ethnicity/Race
gringo,Ethnicity/Race
pendy,Ethnicity/Race
niggor,Ethnicity/Race
gyppo,Ethnicity/Race
slopehead,Ethnicity/Race
mooncricket,Ethnicity/Race
spaghettibender,Ethnicity/Race
russki,Ethnicity/Race
hodgie,Ethnicity/Race
sooty,Ethnicity/Race
nigglings,Ethnicity/Race
whash,Ethnicity/Race
poorwhitetrash,Ethnicity/Race
datnigga,Ethnicity/Race
mulatto,Ethnicity/Race
wab,Ethnicity/Race
roundeye,Ethnicity/Race
kanake,Ethnicity/Race
polack,Ethnicity/Race
whitenigger,Ethnicity/Race
niger,Ethnicity/Race
squaw,Ethnicity/Race
gypo,Ethnicity/Race
niggaracci,Ethnicity/Race
munt,Ethnicity/Race
whigger,Ethnicity/Race
niggards,Ethnicity/Race
kaffre,Ethnicity/Race
boonga,Ethnicity/Race
pom,Ethnicity/Race
gyppy,Ethnicity/Race
piccaninny,Ethnicity/Race
bassturd,Class
bastard,Class
bastardish,Class
bastards,Class
basterd,Class
bastid,Class
bastinado,Class
basturd,Class
dumb bastard,Class
fucking bastard,Class
rat bastard,Class
rat baztad,Class
quashie,Class
slave,Class
trailertrash,Class
shav,Class
eunuch,Class
sexslave,Class
bigbastard,Class
bastardo,Class
chav,Class
bogan,Class
lowlife,Class
hillbillies,Class
nittit,Class
slavedriver,Class
cooties,Other
dolt,Other
doosh,Other
douche,Other
douche bag,Other
douche canoe,Other
douchebag,Other
gowl,Other
hustler,Other
j3rk,Other
nonce,Other
scummy,Other
scut,Other
swine,Other
pimp,Other
scag,Other
mickeyfinn,Other
damnit,Other
crackpipe,Other
hentai,Other
pimpjuice,Other
sucker,Other
pimpsimp,Other
sleezebag,Other
dope,Other
cyberslimer,Other
skumbag,Other
welcher,Other
scum,Other
hoser,Other
damn,Other
pimper,Other
dammit,Other
virgin,Other
pimpjuic,Other
wuss,Other
slimeball,Other
slimebucket,Other
geezer,Other
shawtypimp,Other
sleezeball,Other
skum,Other
scallywag,Other
hotdamn,Other
whacker,Other
pimped,Other
